Format;Appearances;Example;Interpretation;inaccurate;wrong
____-____;5456;1828-1870;1828/1870;;
____-;20;-1803;1803/;x;x
____-??;10;1800-XXXX;1800/;;
ca. __./__. ¢;7;ca. 19./20. Jahrhundert;18XX/19XX;;
ca. __. ¢.-__. ¢.;6;ca. 19. Jh.-20. Jh.;18XX;x;x
__./__. ¢.;4;15./16. Jht.;14XX/15XX;;
__.__.____-__.__.____;3;26.09.1810-15.07.1882;1810-09-26;x;x
__. ¢.;2;17. Jht.;16XX;;
____?-____;2;1779?-1847;1779/1847;;
<<Das>> Schloss Mörsburg;1;<<Das>> Schloss Mörsburg;;;
erwähnt ____-____;1;erwähnt 1840-1852;1840/1852;;
ca. _. ½ __. ¢.;1;ca. 1. Hälfte 18. Jh.;1700?/1750?;;
-____;1;-1906;/1906;;
