Format,Appearances,Example,Interpretation
____,3680,[1860],1860
zwischen ____ und ____,2048,[zwischen 1877 und 1899],1877/1899
zwischen ____ und ____?,1000,[zwischen 1830 und 1840?],1830/1840?
circa ____?,804,[circa 1850?],1850?
circa ____,442,[circa 1845],1845?
nicht vor ____,386,[nicht vor 1891],1891/
nicht nach ____,354,[nicht nach 1896],/1896
____?,219,[1850?],1850?
nach ____,143,[nach 1841],1841/
__. 🌕 ____,115,26. März [18]96,26.3.1896
vor ____,107,[vor 1794],/1794
um ____,105,[um 1840],1840?
🌕 ____,62,August 1900,8.1900
_. 🌕 ____,41,8. April 1897,8.4.1897
🌕 __. ____,40,Aug. 18. 1859,8.1859
__. ¢,39,19. Jahrhundert,18
__. ¢?,38,[17. Jahrhundert?],16?
__ 🌕 ____,37,14 Sept. 1866,14.9.1866
ca. ____,35,[ca. 1890],1890?
nicht vor ____?,33,[nicht vor 1863?],1863?/
nicht nach ____?,29,[nicht nach 1837?],/1837?
____ oder ____,22,[1704 oder 1742],
_ 🌕 ____,20,8 Aug. [18]94,8.8.1894
um ____?,19,[um 1820?],1820?
__ 🌕____,19,14 Sept 1866,14.9.1866
__.,13,93.,
🌕. __. ____,12,Oct. 30. [18]61,10.1861
__._.____,11,24.7.1838,24.7.1838
am Neujahrstage ____,11,am Neujahrstage 1813,
__. 🌕. ____,9,19. Oct. [18]58,19.10.1858
__,9,88,
__.🌕.____,9,15.II.1943,15.2.1943
Fed ____,9,Fed 1856,
🌕. _. ____,8,Oct. 5. [18]74,
_ 🌕____,7,8 Sept [18]81,8.9.1881
🌕 _. ____,7,Juni 6. [18]60,
_.🌕.____,7,7.VIII.[18]98,7.8.1898
🌕 __.____,7,Oct 30.[18]61,10.1861
Zwischen ____ und ____,7,[Zwischen 1913 und 1934],1913/1934
__/_ ____,6,30/1 [18]70,
_/_ ____,6,6/6 [18]92,
__ 🌕. ____,6,29 Oct. 1904,29.10.1904
A.D.____,6,A.D.1931,
zwischen ____ und ____;\_,6,[zwischen 1880 und 1900];\1 ,1880/1900
ca. ____?,5,[ca. 1788?],1788?
_/_. ____,5,6/6. [18]92,
__/_. ____,5,31/5. 1903,
🌕 _.____,5,Juni 3.1924,
zwischen ____-____,4,[zwischen 1820-1828],1820/1828
🌕. ____,4,Oct. [18]98,10.1898
🌕. __ ____,4,Oct. 15 [18]59,10.1859
🌕 __ ____,4,Sept. 23 [18]59,9.1859
__.__.____,4,01.30.[18]61,01.30.1861
____ 🌕,4,1842 Juni,
__. 🌕 __,4,29. Juli 85,29.7.85
____/____,4,1920/1921,1920/1921
__. 🌕 ____.,4,11. Aug. 1806.,11.8.1806.
🌕____,4,Aug 1922,8.1922
vor ____?,4,[vor 1898?],/1898?
zwischen ____ und ____?;\_,4,[zwischen 1840 und 1852?];\3 ,1840/1852?
nicht vor __. 🌕 ____,3,[nicht vor 13. Dezember 1808],13.1.1808
le _r 🌕 ____;\_,3,le 1r Avril 1865;\1 ,4.1865
_/_.____,3,4/4.[18]92,
__/__ 🌕 ____,3,13/18 Mai 1867,18.5.1867
🌕 __,3,Aug. 99,8.99
🌕.__.____,3,Oct.30.[18]61,10.1861
__. 🌕____,3,24. Sept 1883,24.9.1883
A.D. ____,3,A.D. 1912,
__. _ber ____.,3,12. 2ber 1804.,
am __. 🌕 ____,3,am 25. August 1863,25.8.1863
_. _ter ____,3,7. 8ter 1823,
nach ____?,3,[nach 1820?],1820?/
am Neujahrstag ____,3,am Neujahrstag 1810,
am Neujahr ____,3,am Neujahr 1811,
____;\_,3,[1814];\1 ,
im 🌕 ____,3,im Juli 1899,1.1899
den __. 🌕. ____,3,den 26. Octob. 1863,26.10.1863
🌕 Etat ____,2,II Etat 1887,
_ 🌕. ____,2,4 Oct. [18]98,4.10.1898
🌕 _ ____,2,Juli 2 1875,
aufgenommen im 🌕 ____,2,aufgenommen im Juni 1876,1.1876
A° ____,2,A° 1804,1804
_ 🌕 __,2,6 Juli 73,6.7.73
____ und ____?,2,[1850 und 1860?],1850/1860?
Herbst ____,2,Herbst 1864,
_._.____,2,4.3.1913,4.3.1913
Ao ____,2,Ao 1914,1914
__. 🌕. ____.,2,19. 8br. 1803.,19.10.1803.
__. _ber ____,2,21. 8ber 1806,
__.🌕____,2,12.Jan.1942,12.1.1942
__. Sptb.____,2,14. Sptb.1818,
_. Sptb. ____,2,1. Sptb. 1823,
nicht nach __. 🌕 ____,2,[nicht nach 14. Mai 1913],14.1.1913
🌕_.____,2,Feb.3.1925,
anno ____,2,anno 1914,1914
🌕 _. nicht nach ____,2,März 3. [nicht nach 1913],
gez Fed ____,2,gez Fed 1856,
__.🌕.__,2,26.VIII.48,26.8.48
Ao. ____,1,Ao. 1707,1707
____;_\,1,[1903];0\ ,
__. Jahrundert?,1,[19. Jahrundert?],
__. ... ____,1,21. [...] 1795,
Anno __,1,Anno 58,
_/_ 🌕 ____,1,1/2 Juli [18]79,2.7.1879
_/__. ____,1,6/11. [19]07,
__. _. ____,1,28. 9. [18]93,
_ / _. ____,1,8 / 9. [19]06,
_.__.____,1,1.12.[18]93,1.12.1893
Sommer ____,1,Sommer 1892,
____. 🌕,1,1891. Maerz,
Aufgenommen den _ 🌕 ____,1,Aufgenommen den 5 August 1860,5.8.1860
_ __ ____,1,1 10 [18]92,
Fr. _. 🌕 ____,1,Fr. 1. Aug. 1878,1.8.1878
zwsichen ____ und ____,1,[zwsichen 1758 und 1761],1758/1761
Anno ____,1,Anno 1702,1702
🌕. _.____,1,Oct. 4.[18]60,
Jui _ ____,1,Jui 4 1875,
🌕_ ____,1,Sept 7 [18]70,
🌕 __ - 🌕. _ ____,1,Sept. 21 - Oct. 4 [18]74,9.1874
🌕_. ____,1,Nov.8. [1861],
🌕__. ____,1,Aug 25. [18]58,8.1858
__. u. __. 🌕 ____,1,13. u. 14. April 1824,14.4.1824
____. 🌕 _.,1,1859. Sept. 4.,
__ _ ____,1,17 7 [18]60,
__/🌕.____,1,29/I.[18]67,1.1867
__/🌕. ____,1,27/III. [18]61,3.1861
___?,1,185[?],
gez. d. __. 🌕 ____,1,gez. d. 14. May 1868,14.5.1868
_. 🌕. ____,1,2. VI. 1822,2.6.1822
d. __ 🌕 __,1,d. 15 May 60,15.5.60
__.🌕. __,1,31.III. 73,31.3.73
A. ____,1,A. 1647,
__. 🌕__,1,23. Sept 66,23.9.66
🌕 _. __,1,Juni 1. 59,
ad Nat. d. __. ... ____,1,ad Nat. d. 25. [...] 1795,
ad Nat. d. __. 🌕. ____,1,ad Nat. d. 25. Oct. 1795,25.10.1795
fecit ____ 🌕,1,fecit 1856 Juli,
chez Baumann Peters,1,chez Baumann Peters,
__?__,1,[18?]97,
__. 🌕 ____?,1,26. Mai [1867?],26.5.1867
gezeichnet ____,1,[gezeichnet 1924],
____.,1,1914.,
Zürich ____,1,Zürich 1917,
MCM❓🌕,1,MCMXXVIII,
Anno domini ____,1,Anno domini 1917,
Ao.DOM.____,1,Ao.DOM.1918,
"Sonntag, __. 🌕 ____",1,"Sonntag, 26. Mai [18]67",26.5.1867
cop. Dienstag ... _. 🌕 ____,1,cop. Dienstag [...] 3. April 1855,3.1.1855
... ____,1,[...] 1867,
AD. ____,1,AD. 1919,
__. _ber. ____.,1,15. 2ber. 1802.,
__. 🌕b. ____,1,13. Octb. 1803,
__. Ober. ____.,1,16. Ober. 1803.,
ad. nat. ____,1,ad. nat. 1813,
__ 🌕 __,1,25 Apr. 67,25.4.67
Settembre ____,1,Settembre 1934,
____/__,1,1914/15,1914/15
per _. 🌕 ____,1,per 3. März 1923,3.3.1923
AD ____,1,AD 1914,
__. _.ber ____,1,20. 8.ber 1804,
__. od. __. 🌕 ____,1,27. od. 28. May 1805,28.5.1805
__. _br ____,1,18. 2br 1809,
_ 🌕 / __ 🌕____,1,1 Juny / 15 Sept.1812,15.6.1812
__. .... ____,1,15. [...]. 1812,
__. 🌕.____,1,19. 8br.1818,19.10.1818
__. Sptb. ____,1,27. Sptb. 1819,
__. Sprtb. ____,1,13. Sprtb. 1825,
? _ter ____,1,? 8ter 1825,
__ Sptb. ____,1,18 Sptb. 1837,
__-__. 🌕 ____,1,13-14. Aug. 1838,14.8.1838
__. _t. ____,1,10. 8t. 1836,
ad nat. __. 🌕 ____. f. __._ber ____,1,ad nat. 13. July 1797. f. 30.8ber 1799,13.7.1797
Weihnachten ____,1,Weihnachten 1922,
Mittwoch Abend _ _/_ Uhr d. __. 🌕 ____,1,Mittwoch Abend 6 1/2 Uhr d. 22. Augst [18]55,22.1.1855
__. 🌕us Anno ____,1,20. Julius Anno 1794,
____-____,1,[1780-1786],1780/1786
Himelfahrt ____,1,Himelfahrt [18]68,
_. 🌕 circa ____?,1,9. Mai [circa 1860?],
Samstag Nachmittag d. __. 🌕 ____ ... _. Blatt,1,Samstag Nachmittag d. 21. Juli [18]55 [...] [1. Blatt] ,21.1.1855
