Format;Appearances;Example;Interpretation;inaccurate;wrong;notes
____-____;268;1818-1838;1818/1838;;;
___-___;46;747-814;7470/7479;x;x;
ca. Anfang _. ¢.;10;ca. Anfang 4. Jh.;03XX;(x);x;
-____;10;-1309;/1309;;;
-___;8;-300;;x;x;
ca. _./_. ¢.;7;ca. 3./4. Jh.;02XX/03XX;;;
ca. _. ¢.;7;ca. 7. Jh.;06XX;;;
ca. _. ¢. v.Chr.;4;ca. 1. Jh. v.Chr.;00XX;x;x;
ca. _.¢.v.Chr.;3;ca. 1.Jh.v.Chr.;00XX;x;x;
ca. v_. ¢. - _. ¢.;3;ca. v1. Jh. - 1. Jh.;00XX;x;x;
ca. um ___/__;3;ca. um 889/94;;x;x;
ca. -_. ¢.;2;ca. -7. Jh.;06XX;x;x;
ca. Ende _. ¢./Anfang _. ¢.;2;ca. Ende 3. Jh./Anfang 4. Jh.;02XX;x;x;
__?-____;2;18XX-1944;1944;x;x;
____/____-____;2;1290/1300-1360;1290/1300;x;;
"____-____;ZG";1;"1647-1709;ZG";1647/1709;;;
v___-v__;1;v100-v44;1000/1009;x;x;
ca. ___-___;1;ca. 453-526;4530?/4539?;x;x;
??-____;1;XXXX-1558;/1558;;;
__-__;1;14-62;;x;x;
ca. seit ____;1;ca. seit 1685;1685?;x;;x („/„ missing)
____-;1;-1863;1863/;x;x;
ca. __./__. ¢;1;ca. 13./14. Jahrhundert;12XX/13XX;;;
v__-v__;1;v87-v15;;x;x;
v_-__;1;v1-29;;x;x;
ca. ___-ca. ___;1;ca. 456-ca. 531;4560?/4569?;x;x;
ca. ?-___;1;ca. ?-249;;x;x;
___-____;1;981-1055;9810/9819;x;x;
