Format,Appearances,Example
____-____,16834,1819-1892
____-,220,1803-
ca. __. Jh.,12,ca. 19. Jh.
__.__.____-__.__.____,9,26.09.1810-15.07.1882
____-____{dollar}_ger;_\,8,1777-1842{dollar}9ger;1\ 
Mitte __. Jhdt.,6, Mitte 18. Jhdt.
ca. _. Hälfte __. Jh.,5, ca. 1. Hälfte 18. Jh.
__./__. Jht.,4,15./16. Jht.
erwähnt ____-____,4,erwähnt 1840-1852
____-_____________,2,1808-1872010658196
-____,2, -1778 
____-____;_\,2,1735-1795;1\ 
__. Jh.,2,18. Jh. 
____-❓❓,2,1800-XXXX
ca. __. Jahrhundert,2,ca. 19. Jahrhundert
__❓-____,2,15XX-1589
nachgewiesen ____-____,1,nachgewiesen 1559-1586 
ca. __./__. Jh.,1,ca. 17./18. Jh.
um ____,1,um 1834
_. H. __. Jh.,1, 2. H. 16. Jh.
____-?,1,1847-?
